Date,Occurrence,Startup Name,Industry,Description,Location,Investors,Investment Type,Amount in USD,Website URL
14/04/2021,10/01/1900,Swiggy,Consumer Internet,Online Food Delivery,Bangalore,"Amansa Holdings, Carmignac, Falcon Edge Capital, Goldman Sachs, Think Investments",Series J,343000000,https://www.swiggy.com/
14/04/2021,01/01/1900,Beldara,E-commerce,Global B2B marketplace,Mumbai,Hindustan Media Ventures,Venture,7400000,https://beldara.com/
07/04/2021,02/01/1900,Groww,FinTech,Investment platform,Bangalore,"MC Global Edtech, B Capital, Baron, others",Series D,83000000,https://groww.in/
05/04/2021,07/01/1900,Meesho,E-commerce,Online reselling platform,Bangalore,SoftBank Vision Fund 2,Series E,300000000,http://www.meesho.com/
01/04/2021,10/01/1900,BYJU'S,Education,Online tutoring,Bangalore,Innoven Capital,Series F,460000000,http://www.byjus.com/
31/03/2021,06/01/1900,Uniphore,B2B SaaS,Conversational Service Automation (CSA),Palo Alto,Sorenson Capital Partners,Series D,140000000,http://uniphore.com/
30/03/2021,10/01/1900,BYJU'S,Education,Online tutoring,Bangalore,"MC Global Edtech, B Capital, Baron, others",Series F,460000000,http://www.byjus.com/
30/03/2021,05/01/1900,Dunzo,E-commerce,Hyper-local delivery app,Bangalore,Krishtal Advisors Pte Ltd,Series E,8000000,http://dunzo.in/
26/03/2021,01/01/1900,DotPe,FinTech,Commerce and payments platform to offline enterprise businesses.,Gurgaon,PayU,Series A,27500000,https://dotpe.in/
25/03/2021,01/01/1900,CityMall,E-commerce,Social ecommerce and online grocery platform,Gurgaon,Accel Partners,Series A,11000000,https://www.citymall.live/
23/03/2021,01/01/1900,SkilloVilla,Education,Career and job-oriented upskilling.,Bangalore,"Titan Capital, others",Seed,300000000,https://www.skillovilla.com/
04/03/2021,01/01/1900,DealShare,E-commerce,Online shopping platform,"Jaipur, Rajasthan",Innoven Capital,Debt Financing,250000000,https://www.dealshare.in/
22/02/2021,05/01/1900,Zomato,Consumer Internet,Online Food Delivery,Gurgaon,"Tiger Global, Kora",Venture,250000000,https://www.zomato.com/
19/02/2021,05/01/1900,Fingerlix,Consumer Internet,Online Food Delivery,Mumbai,"Rhodium Trust, Accel Partners and Swiggy",Series C,2747045.2,https://www.fingerlix.com/
17/02/2021,01/01/1900,Zolve,FinTech,Global Neobank Venture,Mumbai,Accel Partners and Lightspeed Venture Partners,Seed,15000000,https://zolve.com/
15/02/2021,01/01/1900,KreditBee,FinTech,Digital lending platform,Bangalore,Azim Premji’s PremjiInvest and South Korea’s Mirae Asset Venture,Series C,75000000,https://www.kreditbee.in/
12/02/2021,05/01/1900,Pepperfry,E-commerce,Multi-brand furniture brand,Mumbai,InnoVen Capital,Debt Financing,4773958,http://www.pepperfry.com/
12/02/2021,06/01/1900,Grofers,E-Commerce,Online supermarket,Gurgaon,SoftBank Vision Fund (SVF),Unspecified,55000000,http://grofers.com/
11/02/2021,02/01/1900,Doubtnut,Education,E-Learning Platform,Gurgaon,"SIG Global, Sequoia Capital, WaterBridge Ventures and ON Mauritius",Series B,2500000,http://www.doubtnut.com/
09/02/2021,01/01/1900,Nothing,Technology,Consumer Technology Venture,London,GV,Series A,15000000,https://nothing.tech/
09/02/2021,01/01/1900,SplashLearn,Education,Game-based learning programme,Gurgaon,Owl Ventures,Series C,18000000,https://www.splashlearn.com/
28/01/2021,03/01/1900,Bombay Shaving Company,eCommerce,"Shave care, beard care, and skincare products",New Delhi,Reckitt Benckiser,Venture,6172258.5,https://www.bombayshavingcompany.com/
19/01/2021,03/01/1900,Darwinbox,B2B SaaS,HR Tech,Mumbai,Salesforce Ventures,Seed,15000000,https://darwinbox.com/
19/01/2021,02/01/1900,DeHaat,B2B E-Commerce,AgriTech,Patna,Prosus Ventures,Series C,30000000,http://agrevolution.in/
18/01/2021,04/01/1900,mfine,HealthTech,AI-powered telemedicine mobile app,Bangalore,Heritas Capital Management,Venture Round,16000000,https://www.mfine.co/
18/01/2021,01/01/1900,Udayy,Education,Online learning platform for kids in class 1-5,Gurgaon,Sequoia Capital ,Seed Funding,15000000,https://www.udayy.com/
15/01/2021,01/01/1900,Digit Insurance,FinTech,Insurance Services,Bangalore,"A91 Partners, Faering Capital, TVS Capital Funds",Venture,18000000,https://godigit.com/
13/01/2021,01/01/1900,Saveo,B2B E-Commerce,Pharmaceutical ,Bangalore,"Matrix Partners India, RTP Global, others",Seed,4000000,https://www.saveo.in/
11/01/2021,01/01/1900,True Elements,Food Startup,Whole Food plant based Nashta,Pune,SIDBI Venture Capital,Series,100000000,http://www.true-elements.com/
22/12/2020,01/01/1900,Tax Buddy India,FinTech,Online tax adviser ,Mumbai,Zenith Global,Seed,1000000,https://www.taxbuddy.com/
21/12/2020,02/01/1900,Pine Labs,Fintech,Payment Solutions Provider,Noida,Lone Pine Capital,Secondary Market,,https://www.pinelabs.com/
18/12/2020,01/01/1900,PagarBook,B2B SaaS,Employee management platform ,Bangalore,Sequoia Capital ,Series A,15000000,https://pagarbook.com/
15/12/2020,02/01/1900,Zenoti,Technology,Cloud-based software provider for the spa and salon industries,Washington,Advent International,Series D,160000000,http://www.zenoti.com/
15/12/2020,04/01/1900,Delhivery,Logistics,Transportation,Gurgaon,Steadview Capital ,Secondary Market,25000000,http://delhivery.com/
